Date : 2020-04-06 13:49:33
Directory : c:\Users\Administrator\Desktop\compiler\Tiger\Lab5
Total : 441 files,  20843 codes, 1978 comments, 2764 blanks, all 25585 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Java     |        424 |     19,722 |      1,777 |      2,574 |     24,073 |
| C        |         14 |      1,106 |        200 |        183 |      1,489 |
| C++      |          2 |          8 |          1 |          6 |         15 |
| Batch    |          1 |          7 |          0 |          1 |          8 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                              |        441 |     20,843 |      1,978 |      2,764 |     25,585 |
| bin                                                                                                            |        337 |      5,182 |        148 |         39 |      5,369 |
| bin\ast                                                                                                        |         56 |        908 |         12 |          1 |        921 |
| bin\ast\optimizations                                                                                          |          5 |        330 |          0 |          0 |        330 |
| bin\cfg                                                                                                        |         68 |      1,168 |          4 |          4 |      1,176 |
| bin\cfg\optimizations                                                                                          |          9 |        285 |          0 |          1 |        286 |
| bin\codegen                                                                                                    |        150 |      1,653 |         89 |         11 |      1,753 |
| bin\codegen\C                                                                                                  |         56 |        667 |         77 |          6 |        750 |
| bin\codegen\bytecode                                                                                           |         51 |        549 |          6 |          3 |        558 |
| bin\codegen\dalvik                                                                                             |         42 |        432 |          6 |          2 |        440 |
| bin\codegen\x86                                                                                                |          1 |          5 |          0 |          0 |          5 |
| bin\control                                                                                                    |         18 |        321 |          0 |          2 |        323 |
| bin\elaborator                                                                                                 |          6 |        199 |         43 |          1 |        243 |
| bin\lexer                                                                                                      |          3 |        104 |          0 |          0 |        104 |
| bin\parser                                                                                                     |          1 |        145 |          0 |          0 |        145 |
| bin\slp                                                                                                        |         20 |        267 |          0 |         11 |        278 |
| bin\util                                                                                                       |         14 |        341 |          0 |          9 |        350 |
| runtime                                                                                                        |          8 |        467 |        170 |         74 |        711 |
| src                                                                                                            |         71 |     13,278 |      1,516 |      2,266 |     17,060 |
| src\ast                                                                                                        |         10 |      2,594 |        269 |        431 |      3,294 |
| src\ast\optimizations                                                                                          |          5 |      1,524 |         95 |        211 |      1,830 |
| src\cfg                                                                                                        |         16 |      3,604 |        411 |        688 |      4,703 |
| src\cfg\optimizations                                                                                          |          8 |      1,500 |        246 |        327 |      2,073 |
| src\codegen                                                                                                    |         20 |      4,085 |        405 |        743 |      5,233 |
| src\codegen\C                                                                                                  |          9 |      1,787 |        150 |        299 |      2,236 |
| src\codegen\bytecode                                                                                           |          5 |      1,239 |        181 |        237 |      1,657 |
| src\codegen\dalvik                                                                                             |          5 |      1,055 |         67 |        204 |      1,326 |
| src\codegen\x86                                                                                                |          1 |          4 |          7 |          3 |         14 |
| src\control                                                                                                    |          3 |        484 |         19 |         45 |        548 |
| src\elaborator                                                                                                 |          6 |        711 |         63 |        107 |        881 |
| src\lexer                                                                                                      |          2 |        219 |         41 |         25 |        285 |
| src\parser                                                                                                     |          1 |        466 |        113 |         33 |        612 |
| src\slp                                                                                                        |          3 |        432 |         45 |         67 |        544 |
| src\util                                                                                                       |          9 |        513 |         31 |         89 |        633 |
| test                                                                                                           |         25 |      1,916 |        144 |        385 |      2,445 |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                       | language | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\Administrator\Desktop\compiler\Tiger\Lab5\bin\Tiger.class                                             | Java     |         76 |          0 |          0 |         76 |
| c:\Users\Administrator\Desktop\compiler\Tiger\Lab5\bin\ast\Acceptable.class                                    | Java     |          2 |          0 |          0 |          2 |
| c:\Users\Administrator\Desktop\compiler\Tiger\Lab5\bin\ast\Ast$Class$ClassSingle.class                         | Java     |         12 |          0 |          0 |         12 |
| c:\Users\Administrator\Desktop\compiler\Tiger\Lab5\bin\ast\Ast$Class$T.class                                   | Java     |          6 |          0 |          0 |          6 |
| c:\Users\Administrator\Desktop\compiler\Tiger\Lab5\bin\ast\Ast$Class.class                                     | Java     |          6 |          0 |          0 |          6 |
| c:\Users\Administrator\Desktop\compiler\Tiger\Lab5\bin\ast\Ast$Dec$DecSingle.class                             | Java     |         12 |          0 |          0 |         12 |
| c:\Users\Administrator\Desktop\compiler\Tiger\Lab5\bin\ast\Ast$Dec$T.class                                     | Java     |          7 |          0 |          0 |          7 |
| c:\Users\Administrator\Desktop\compiler\Tiger\Lab5\bin\ast\Ast$Dec.class                                       | Java     |          7 |          0 |          0 |          7 |
| c:\Users\Administrator\Desktop\compiler\Tiger\Lab5\bin\ast\Ast$Exp$Add.class                                   | Java     |         10 |          0 |          0 |         10 |
